
4FGLName,GLON,GLAT,4FGLSig,4FGL,4FGL Class
4FGL J1814.6−2537,6.09,−3.96,3.6,3.2,
4FGL J1815.8−1416,16.21,1.19,3.5,4.3,
4FGL J1817.9−1135,18.80,2.02,3.5,4.8,
4FGL J1818.6−1533,15.39,−0.00,6.9,8.3,
4FGL J1819.9−1300,17.79,0.93,2.1,4.4,
4FGL J1820.3−1009,20.35,2.18,2.6,4.8,unk
4FGL J1820.4−1609,15.07,−0.66,0.8,4.8,unk
4FGL J1821.1−1422,16.72,0.03,1.5,5.7,spp
4FGL J1821.4−1516,15.97,−0.46,4.7,4.6,spp
4FGL J1822.8−1118,19.62,1.10,2.0,3.7,
4FGL J1823.3−1340,17.60,−0.11,7.1,6.7,
4FGL J1826.2−1450,16.88,−1.29,8.7,21.9,HMB
4FGL J1826.5−1202,19.40,−0.06,4.8,3.6,
4FGL J1828.0−1133,20.00,−0.14,5.8,4.2,spp
4FGL J1830.1−0212,28.52,3.73,4.7,3.8,
4FGL J1830.2−1005,21.54,0.05,5.0,6.3,spp
4FGL J1830.7−1634,15.85,−3.04,3.4,6.0,
4FGL J1834.7−0724,24.43,0.31,5.7,3.1,
4FGL J1834.9−0800,23.94,−0.01,5.9,4.1,
4FGL J1328.4−6231,307.19,0.04,4.1,6.3,
4FGL J1329.9−6108,307.56,1.38,6.9,5.8,
4FGL J1349.1−5829,310.43,3.54,1.6,4.4,
4FGL J1351.6−6142,310.00,0.34,6.9,8.6,
4FGL J1358.2−6210,310.64,−0.30,5.3,5.3,spp
4FGL J1358.3−6026,311.10,1.36,6.5,7.6,
4FGL J1404.4−6159,311.40,−0.32,5.9,3.7,
4FGL J1405.1−6119,311.66,0.28,9.2,7.9,
4FGL J1408.9−5845,312.86,2.62,0.6,4.6,
4FGL J1409.1−6121e,312.11,0.13,5.3,5.4,
4FGL J1412.1−6631,310.86,−4.90,4.9,5.3,
4FGL J1424.8−6536,312.38,−4.47,0.9,4.5,
4FGL J1427.8−6051,314.40,−0.15,4.4,10.3,
4FGL J1435.8−6018,315.52,−0.02,5.7,5.0,spp
4FGL J1442.2−6005,316.34,−0.13,5.2,3.5,spp
4FGL J1447.4−5757,317.84,1.52,7.0,11.7,
4FGL J1449.8−5923,317.50,0.09,4.1,3.4,
4FGL J1454.3−5551,319.62,2.99,3.5,4.1,
4FGL J1500.1-5846,318.95,0.03,3.0,3.1,
4FGL J1501.0−6310e,316.95,−3.89,4.9,5.4,
4FGL J1514.0−6240,318.49,−4.19,0.9,3.6,
4FGL J1514.2−5909e,320.35,−1.21,0.1,7.0,PWN
4FGL J1515.6−5817,320.95,−0.56,1.2,3.2,
4FGL J1517.9−5233,324.26,4.14,6.5,4.9,
4FGL J1529.4−6027,321.24,−3.33,4.0,4.3,
4FGL J1534.0−5232,326.29,2.79,3.0,4.4,
4FGL J1547.5−5130,328.58,2.37,0.3,4.8,
4FGL J1551.9−6015,323.60,−4.84,4.5,4.6,
4FGL J1552.9−5607e,326.32,−1.74,3.7,4.5,SNR
4FGL J1553.8−5325e,328.13,0.28,6.4,11.5,
4FGL J1556.0−4713,332.37,4.82,0.2,6.2,unk
4FGL J1601.3−5224,329.66,0.33,6.4,7.2,spp
4FGL J1608.8−4803,333.45,2.76,3.4,4.7,
4FGL J1610.3−5154,331.01,−0.23,4.9,3.4,
4FGL J1616.6−5341,330.48,−2.17,8.1,5.3,
4FGL J1616.6−5009,332.94,0.37,6.3,4.0,
4FGL J1618.3−4537,336.29,3.42,3.0,5.5,
4FGL J1622.8−4454,337.37,3.36,2.4,3.1,
4FGL J1623.0−4624,336.32,2.28,0.8,3.3,
4FGL J1626.0−4917,334.63,−0.09,0.4,3.2,
4FGL J1626.5−4406,338.41,3.45,1.7,3.7,
4FGL J1626.6−4251,339.31,4.31,3.4,3.6,
4FGL J1633.0−4746e,336.52,0.12,5.7,7.6,spp
4FGL J1636.3−4731e,337.08,−0.12,4.9,6.7,SNR
4FGL J1639.3−5146,334.25,−3.33,6.6,11.6,
4FGL J1640.3−4917,336.21,−1.80,3.0,4.1,
4FGL J1641.0−4619,338.51,0.08,4.4,3.6,spp
4FGL J1644.9−4921,336.64,−2.41,2.5,4.3,
4FGL J1645.8−4533,339.63,−0.05,5.0,5.3,unk
4FGL J1652.2−4633e,339.58,−1.54,1.5,5.6,
4FGL J1653.2−4349,341.80,0.06,6.8,6.1,
4FGL J1654.2−4907,337.81,−3.42,1.2,3.5,
4FGL J1655.5−4737e,339.10,−2.66,0.2,6.3,
4FGL J1700.1−4013,345.42,1.31,3.9,3.4,unk
4FGL J1700.2−4237,343.54,−0.20,4.3,3.5,
4FGL J1701.3−4924,338.30,−4.51,2.5,3.1,
4FGL J1702.5−4803,339.50,−3.85,1.1,3.1,
4FGL J1705.4−4850,339.17,−4.70,3.7,3.0,
4FGL J1706.4−4649,340.88,−3.62,1.9,4.1,
4FGL J1706.8−4540,341.85,−2.99,2.4,3.2,
4FGL J1708.6−4312,344.01,−1.76,3.2,3.4,unk
